local,resultado,visitante,año
Dinamarca,1:1,Australia,2018
Francia,1:0,Perú,2018
Dinamarca,0:0,Francia,2018
Australia,0:2,Perú,2018
Argentina,1:1,Islandia,2018
Croacia,2:0,Nigeria,2018
Argentina,0:3,Croacia,2018
Nigeria,2:0,Islandia,2018
Nigeria,1:2,Argentina,2018
Islandia,1:2,Croacia,2018
Costa Rica,0:1,Serbia,2018
Brasil,1:1,Suiza,2018
Brasil,2:0,Costa Rica,2018
Serbia,1:2,Suiza,2018
Serbia,0:2,Brasil,2018
Suiza,2:2,Costa Rica,2018
Alemania,0:1,México,2018
Suecia,1:0,Corea del Sur,2018
Corea del Sur,1:2,México,2018
Alemania,2:1,Suecia,2018
Corea del Sur,2:0,Alemania,2018
México,0:3,Suecia,2018
Bélgica,3:0,Panamá,2018
Túnez,1:2,Inglaterra,2018
Bélgica,5:2,Túnez,2018
Inglaterra,6:1,Panamá,2018
Inglaterra,0:1,Bélgica,2018
Panamá,1:2,Túnez,2018
Colombia,1:2,Japón,2018
Polonia,1:2,Senegal,2018
Japón,2:2,Senegal,2018
Polonia,0:3,Colombia,2018
Japón,0:1,Polonia,2018
Senegal,0:1,Colombia,2018
Francia,4:3,Argentina,2018
Uruguay,2:1,Portugal,2018
España,1:1,Rusia,2018
Croacia,1:1,Dinamarca,2018
Brasil,2:0,México,2018
Bélgica,3:2,Japón,2018
Suecia,1:0,Suiza,2018
Colombia,1:1,Inglaterra,2018
Uruguay,0:2,Francia,2018
Brasil,1:2,Bélgica,2018
Suecia,0:2,Inglaterra,2018
Rusia,2:2,Croacia,2018
Francia,1:0,Bélgica,2018
Croacia,2:1,Inglaterra,2018
Bélgica,2:0,Inglaterra,2018
Francia,4:2,Croacia,2018
Catar,0:2,Ecuador,2022
Senegal,0:2,Países Bajos,2022
Catar,1:3,Senegal,2022
Países Bajos,1:1,Ecuador,2022
Ecuador,1:2,Senegal,2022
Países Bajos,2:0,Catar,2022
Inglaterra,6:2,Irán,2022
Estados Unidos,1:1,Gales,2022
Gales,0:2,Irán,2022
Inglaterra,0:0,Estados Unidos,2022
Gales,0:3,Inglaterra,2022
Irán,0:1,Estados Unidos,2022
Argentina,1:2,Arabia Saudita,2022
México,0:0,Polonia,2022
Polonia,2:0,Arabia Saudita,2022
Argentina,2:0,México,2022
Polonia,0:2,Argentina,2022
Arabia Saudita,1:2,México,2022
Dinamarca,0:0,Túnez,2022
Francia,4:1,Australia,2022
Túnez,0:1,Australia,2022
Francia,2:1,Dinamarca,2022
Australia,1:0,Dinamarca,2022
Túnez,1:0,Francia,2022
Alemania,1:2,Japón,2022
España,7:0,Costa Rica,2022
Japón,0:1,Costa Rica,2022
España,1:1,Alemania,2022
Japón,2:1,España,2022
Costa Rica,2:4,Alemania,2022
Marruecos,0:0,Croacia,2022
Bélgica,1:0,Canadá,2022
Bélgica,0:2,Marruecos,2022
Croacia,4:1,Canadá,2022
Croacia,0:0,Bélgica,2022
Canadá,1:2,Marruecos,2022
Suiza,1:0,Camerún,2022
Brasil,2:0,Serbia,2022
Camerún,3:3,Serbia,2022
Brasil,1:0,Suiza,2022
Serbia,2:3,Suiza,2022
Camerún,1:0,Brasil,2022
Uruguay,0:0,Corea del Sur,2022
Portugal,3:2,Ghana,2022
Corea del Sur,2:3,Ghana,2022
Portugal,2:0,Uruguay,2022
Ghana,0:2,Uruguay,2022
Corea del Sur,2:1,Portugal,2022
Países Bajos,3:1,Estados Unidos,2022
Argentina,2:1,Australia,2022
Francia,3:1,Polonia,2022
Inglaterra,3:0,Senegal,2022
Japón,1:1,Croacia,2022
Brasil,4:1,Corea del Sur,2022
Marruecos,0:0,España,2022
Portugal,6:1,Suiza,2022
Croacia,1:1,Brasil,2022
Países Bajos,2:2,Argentina,2022
Marruecos,1:0,Portugal,2022
Inglaterra,1:2,Francia,2022
Argentina,3:0,Croacia,2022
Francia,2:0,Marruecos,2022
Croacia,2:1,Marruecos,2022
Argentina,3:3,Francia,2022
